Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
,The category 'Movable dwelling' includes mobile homes and other movable dwellings such as houseboats  recreational vehicles and railroad cars.,,,,,,,,,,,,,
8, Total - Private households by household size - 100% data,,,,,,,,,,,,,
,Household size refers to the number of persons in a private household.,,,,,,,,,,,,,
9, Total - Population aged 15 years and over by marital status - 100% data,,,,,,,,,,,,,
,For more information  refer to the Census Dictionary: Marital status.,,,,,,,,,,,,,
10, Total - Census families in private households by family size - 100% data,,,,,,,,,,,,,
,Census family is defined as a married couple (with or without children of either and/or both spouses)  a common-law couple (with or without children of either and/or both partners) or a lone parent of any marital status  with at least one child living in the same dwelling. For more information  refer to the Census Dictionary: Census family structure.,,,,,,,,,,,,,
11, Total number of census families in private households - 100% data,,,,,,,,,,,,,
,'Census family structure' refers to the combination of relatives that comprise a census family. Classification on this variable considers the presence or absence of: married spouses or common-law partners and children.,,,,,,,,,,,,,
12, Total - Private households by household type - 100% data,,,,,,,,,,,,,
,For more information  refer to the Census Dictionary: Household type.,,,,,,,,,,,,,
13, One-census-family households - Without children in a census family,,,,,,,,,,,,,
,The household includes a single couple (without children). Other persons related or unrelated to the couple may also be present.,,,,,,,,,,,,,
14, One-census-family households - With children in a census family,,,,,,,,,,,,,
,The household includes either a couple with children or a lone parent and his or her children. Other persons related or unrelated to the census family may also be present.,,,,,,,,,,,,,
15, Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,Knowledge of official languages refers to whether the person can conduct a conversation in English only  French only  in both languages or in neither language. For a child who has not yet learned to speak  this includes languages that the child is learning to speak at home.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
16, Total - First official language spoken for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,First official language spoken is specified within the framework of the Official Languages Act. It refers to the first official language (i.e.  English or French) spoken by the person.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
17, Official language minority,,,,,,,,,,,,,
,The official language minority population of Quebec includes all individuals with English as a first official language spoken and half of those with both English and French. The official language minority population of the country overall and of every province and territory other than Quebec includes individuals with French as a first official language spoken and half of those with both English and French.,,,,,,,,,,,,,
18, Total - Mother tongue for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,Mother tongue refers to the first language learned at home in childhood and still understood by the person at the time the data was collected. If the person no longer understands the first language learned  the mother tongue is the second language learned. For a person who learned two languages at the same time in early childhood  the mother tongue is the language this person spoke most often at home before starting school. The person has two mother tongues only if the two languages were used equally often and are still understood by the person. For a child who has not yet learned to speak  the mother tongue is the language spoken most often to this child at home. The child has two mother tongues only if both languages are spoken equally often so that the child learns both languages at the same time.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
,n.i.e. = not included elsewhere,,,,,,,,,,,,,
,n.o.s. = not otherwise specified,,,,,,,,,,,,,
19, Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,Language spoken most often at home refers to the language the person speaks most often at home at the time of data collection. A person can report more than one language as 'spoken most often at home' if the languages are spoken equally often.,,,,,,,,,,,,,
,For a person who lives alone  the language spoken most often at home is the language in which he or she feels most comfortable. For a child who has not yet learned to speak  this is the language spoken most often to the child at home. Where two languages are spoken to the child  the language spoken most often at home is the language spoken most often. If both languages are used equally often  then both languages are included here.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
,n.i.e. = not included elsewhere,,,,,,,,,,,,,
,n.o.s. = not otherwise specified,,,,,,,,,,,,,
20, Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,,,,,,,,,,,,,
,Other language(s) spoken regularly at home refers to the languages  if any  that the person speaks at home on a regular basis at the time of data collection  other than the language or languages he or she speaks most often at home.,,,,,,,,,,,,,
,For more information on language variables  including information on their classifications  the questions from which they are derived  data quality and their comparability with other sources of data  please refer to the Languages Reference Guide  Census of Population  2016.,,,,,,,,,,,,,
,Total population excluding institutional residents refers to the total population excluding persons who live in institutional collective dwellings.,,,,,,,,,,,,,
21, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,,,,,,,,,,,,,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,,,,,,,,,,,,,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,,,,,,,,,,,,,
,    *statistical units of farm statistical programs such as farm operator and farm family.,,,,,,,,,,,,,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,,,,,,,,,,,,,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,,,,,,,,,,,,,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,,,,,,,,,,,,,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,,,,,,,,,,,,,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,,,,,,,,,,,,,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,,,,,,,,,,,,,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,,,,,,,,,,,,,
,Receipts excluded from this income definition are:,,,,,,,,,,,,,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,,,,,,,,,,,,,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,,,,,,,,,,,,,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,,,,,,,,,,,,,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,,,,,,,,,,,,,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,,,,,,,,,,,,,
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,,,,,,,,,,,,,
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,,,,,,,,,,,,,
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,,,,,,,,,,,,,
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;,,,,,,,,,,,,,
,    *benefits from Employment Insurance and Québec parental insurance plan;,,,,,,,,,,,,,
,    *child benefits from federal and provincial programs;,,,,,,,,,,,,,
,    *social assistance benefits;,,,,,,,,,,,,,
,    *workers' compensation benefits;,,,,,,,,,,,,,
,    *Working income tax benefit;,,,,,,,,,,,,,
,    *Goods and services tax credit and harmonized sales tax credit;,,,,,,,,,,,,,
,    *other income from government sources.,,,,,,,,,,,,,
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,,,,,,,,,,,,,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,,,,,,,,,,,,,
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).,,,,,,,,,,,,,
